Posisi,Perusahaan,Lokasi,Type,Gaji,Requirements,Link,text,Category,has_salary
Tenaga Admin,PT Serdang Baja Makmur Abadi,Medan,Full time,Rp 3.250.000 – Rp 3.500.000 per month,"Pekerjaan administrasi umum seperti membuat Invoice, faktur pajak, data stok, filing data dan menerima invoice serta barang masuk.; Diutamakan yang memiliki kemauan bekerja yang kuat, jujur, loyalitas tinggi, dapat diarahkan, berkeinginan untuk maju, berinisiatif dalam bekerja dan membawa pengaruh positif untuk team; Diutamakan memiliki SIM-C; Diutamakan Fresh Graduate; Lingkungan kerja kekeluargaan, team kerja kecil dan tidak terlalu ramai.; Gaji yang tertera adalah untuk pemula, akan disesuaikan dengan performa kerja setelah melewati masa training 3 bulan; Diharapkan yang melamar adalah yang serius bekerja",https://id.jobstreet.com/id/job/91338594?type=standard&ref=search-standalone&origin=cardTitle,tenaga admin tenaga admin pekerjaan administrasi umum seperti membuat invoice faktur pajak data stok filing data dan menerima invoice serta barang masuk diutamakan yang memiliki kemauan bekerja yang kuat jujur loyalitas tinggi dapat diarahkan berkeinginan untuk maju berinisiatif dalam bekerja dan membawa pengaruh positif untuk team diutamakan memiliki sim c diutamakan fresh graduate lingkungan kerja kekeluargaan team kerja kecil dan tidak terlalu ramai gaji yang tertera adalah untuk pemula akan disesuaikan dengan performa kerja setelah melewati masa training bulan diharapkan yang melamar adalah yang serius bekerja,Admin,True
Admin Operasional & HR Support (MAGANG),PT Saptakarsa Prima,Kecamatan Tangerang,Full time,Rp 2.500.000 – Rp 3.500.000 per month,"Pendidikan minimal SMK Jurusan Administrasi Perkantoran / S1 Semua Jurusan; Memiliki pengalaman magang sebagai admin minimal 6 bulan; Memiliki komunikasi yang kuat dan skill interpersonal yang baik; Mampu bekerja dengan tim maupun individual; Terbiasa menggunakan Microsoft (Ms. Word, Excell, dll); Mempunyai problem solving skill yang baik; Bersedia di tempatkat di Dadap, Kabupaten Tangerang; Filling Dokumen; Mengelola absensi karyawan; Melakukan pengawasan terhadap kehadiran: cuti, izin, surat dokter; Mencatat permintaan barang karyawan; Mencatat lembur karyawan; Menghitung uang jalan supir kenek",https://id.jobstreet.com/id/job/91309622?type=standard&ref=search-standalone&origin=cardTitle,admin operasional hr support magang admin operasional hr support magang pendidikan minimal smk jurusan administrasi perkantoran s semua jurusan memiliki pengalaman magang sebagai admin minimal bulan memiliki komunikasi yang kuat dan skill interpersonal yang baik mampu bekerja dengan tim maupun individual terbiasa menggunakan microsoft ms word excell dll mempunyai problem solving skill yang baik bersedia di tempatkat di dadap kabupaten tangerang filling dokumen mengelola absensi karyawan melakukan pengawasan terhadap kehadiran cuti izin surat dokter mencatat permintaan barang karyawan mencatat lembur karyawan menghitung uang jalan supir kenek,Admin,True
Executive admin,Pengiklan Anonim,Jakarta Utara,Full time,Rp 4.700.000 – Rp 5.500.000 per month,"Mengelola kalender dan jadwal eksekutif dengan efisien; Mengatur perjalanan bisnis, termasuk pemesanan tiket, hotel, dan transportasi; Mempersiapkan presentasi, laporan, dan dokumen lain yang diperlukan; Menjadi titik kontak utama untuk komunikasi internal dan eksternal; Memberikan dukungan administratif dan logistik untuk rapat dan acara; Membantu proyek-proyek khusus sesuai kebutuhan; Mengelola arsip dan penyimpanan dokumen dengan rapi; Minimal diploma/gelar dalam bidang administrasi perkantoran, bisnis, atau yang setara; Memiliki minimal 5 tahun pengalaman sebagai Executive Admin atau posisi administratif senior yang serupa; Sangat terampil dalam penggunaan Microsoft Office (Word, Excel, PowerPoint) dan alat produktivitas lainnya; Memiliki kemampuan komunikasi lisan dan tertulis yang sangat baik dalam Bahasa Indonesia dan Inggris; Teliti, mampu multitasking, dan berpikiran kritis untuk menangani berbagai tugas secara efisien; Berpengalaman dalam menjadwalkan perjalanan bisnis dan acara eksekutif; Memiliki pemahaman yang baik tentang prosedur administrasi perkantoran",https://id.jobstreet.com/id/job/91479903?type=standard&ref=search-standalone&origin=cardTitle,executive admin executive admin mengelola kalender dan jadwal eksekutif dengan efisien mengatur perjalanan bisnis termasuk pemesanan tiket hotel dan transportasi mempersiapkan presentasi laporan dan dokumen lain yang diperlukan menjadi titik kontak utama untuk komunikasi internal dan eksternal memberikan dukungan administratif dan logistik untuk rapat dan acara membantu proyek proyek khusus sesuai kebutuhan mengelola arsip dan penyimpanan dokumen dengan rapi minimal diploma gelar dalam bidang administrasi perkantoran bisnis atau yang setara memiliki minimal tahun pengalaman sebagai executive admin atau posisi administratif senior yang serupa sangat terampil dalam penggunaan microsoft office word excel powerpoint dan alat produktivitas lainnya memiliki kemampuan komunikasi lisan dan tertulis yang sangat baik dalam bahasa indonesia dan inggris teliti mampu multitasking dan berpikiran kritis untuk menangani berbagai tugas secara efisien berpengalaman dalam menjadwalkan perjalanan bisnis dan acara eksekutif memiliki pemahaman yang baik tentang prosedur administrasi perkantoran,Admin,True
Executive admin,Pengiklan Anonim,Jakarta Utara,Full time,Rp 4.700.000 – Rp 5.500.000 per month,"Mengelola jadwal, pertemuan, dan kegiatan eksekutif dengan efisien; Mempersiapkan dokumen, presentasi, dan komunikasi penting dengan standar tertinggi; Mengoordinasikan perjalanan bisnis dan pengaturan akomodasi; Bertindak sebagai titik kontak utama untuk komunikasi internal dan eksternal; Membantu dalam tugas administratif harian, termasuk penagihan, pemesanan, dan arsip; Memberikan dukungan logistik dan koordinasi untuk acara perusahaan; Gelar sarjana atau setara dalam bidang Administrasi Bisnis, Manajemen, atau yang terkait; Minimal 5 tahun pengalaman sebagai Asisten Eksekutif atau peran administrasi senior; Sangat terorganisir, efisien, dan mampu mengelola prioritas dan tenggat waktu yang kompetitif; Sangat mahir dalam menggunakan perangkat lunak perkantoran, termasuk Microsoft Office; Kemampuan komunikasi lisan dan tertulis yang sangat baik dalam Bahasa Indonesia dan Bahasa Inggris; Pengalaman dalam menyiapkan laporan, presentasi, dan dokumen bisnis berkualitas tinggi; Kemampuan untuk bekerja dengan orang-orang di semua tingkatan organisasi; Kemampuan untuk bekerja dalam lingkungan yang sibuk dan selalu berubah",https://id.jobstreet.com/id/job/91508884?type=standard&ref=search-standalone&origin=cardTitle,executive admin executive admin mengelola jadwal pertemuan dan kegiatan eksekutif dengan efisien mempersiapkan dokumen presentasi dan komunikasi penting dengan standar tertinggi mengoordinasikan perjalanan bisnis dan pengaturan akomodasi bertindak sebagai titik kontak utama untuk komunikasi internal dan eksternal membantu dalam tugas administratif harian termasuk penagihan pemesanan dan arsip memberikan dukungan logistik dan koordinasi untuk acara perusahaan gelar sarjana atau setara dalam bidang administrasi bisnis manajemen atau yang terkait minimal tahun pengalaman sebagai asisten eksekutif atau peran administrasi senior sangat terorganisir efisien dan mampu mengelola prioritas dan tenggat waktu yang kompetitif sangat mahir dalam menggunakan perangkat lunak perkantoran termasuk microsoft office kemampuan komunikasi lisan dan tertulis yang sangat baik dalam bahasa indonesia dan bahasa inggris pengalaman dalam menyiapkan laporan presentasi dan dokumen bisnis berkualitas tinggi kemampuan untuk bekerja dengan orang orang di semua tingkatan organisasi kemampuan untuk bekerja dalam lingkungan yang sibuk dan selalu berubah,Admin,True
Operations & Admin Coordinator (Indonesia Representative Office),Pengiklan Anonim,Cilandak,Full time,Rp 6.500.000 – Rp 8.500.000 per month,"Manage daily administrative tasks; Organize documents, contracts, and records; Coordinate schedules, meetings, and logistics; Mengelola tugas administrasi harian; Mengatur dokumen, kontrak, dan arsip; Mengatur jadwal, meeting, dan logistik; Liaise with external vendors (accounting, banking, visa agents); Track deadlines and ensure timely submissions; Follow up proactively to avoid delays; Berkoordinasi dengan vendor eksternal (akuntansi, bank, agen visa); Memantau deadline dan memastikan semua tepat waktu; Melakukan follow-up secara proaktif; Track expenses and payments; Prepare simple reports; Manage invoices and reimbursements; Mencatat pengeluaran dan pembayaran; Menyusun laporan sederhana; Mengelola invoice dan reimbursement; Source and compare vendors (logistics, warehouse, services); Collect quotations and organize options; Mencari dan membandingkan vendor lokal; Mengumpulkan penawaran dan menyusun opsi; Assist Bahasa ↔ English communication; Support drafting external messages; Membantu komunikasi Bahasa ↔ Inggris; Membantu menyusun komunikasi eksternal; 1–3 years experience in admin / operations; Strong responsibility and attention to detail; Able to follow through tasks independently; Good English and Bahasa communication; Comfortable in a fast-paced environment; Pengalaman 1–3 tahun di bidang administrasi / operasional; Teliti dan bertanggung jawab; Mampu menyelesaikan tugas secara mandiri; Komunikasi Bahasa Inggris & Indonesia yang baik; Nyaman bekerja di lingkungan dinamis; Reliable and structured; Takes ownership and follows through; Focused on execution; Rapi, dapat diandalkan; Memiliki rasa tanggung jawab; Fokus pada eksekusi; International business exposure; Direct work with leadership; Stable role with long-term opportunity; Eksposur bisnis internasional; Bekerja langsung dengan pimpinan; Posisi stabil dengan peluang jangka panjang",https://id.jobstreet.com/id/job/91487019?type=standard&ref=search-standalone&origin=cardTitle,operations admin coordinator indonesia representative office operations admin coordinator indonesia representative office manage daily administrative tasks organize documents contracts and records coordinate schedules meetings and logistics mengelola tugas administrasi harian mengatur dokumen kontrak dan arsip mengatur jadwal meeting dan logistik liaise with external vendors accounting banking visa agents track deadlines and ensure timely submissions follow up proactively to avoid delays berkoordinasi dengan vendor eksternal akuntansi bank agen visa memantau deadline dan memastikan semua tepat waktu melakukan follow up secara proaktif track expenses and payments prepare simple reports manage invoices and reimbursements mencatat pengeluaran dan pembayaran menyusun laporan sederhana mengelola invoice dan reimbursement source and compare vendors logistics warehouse services collect quotations and organize options mencari dan membandingkan vendor lokal mengumpulkan penawaran dan menyusun opsi assist bahasa english communication support drafting external messages membantu komunikasi bahasa inggris membantu menyusun komunikasi eksternal years experience in admin operations strong responsibility and attention to detail able to follow through tasks independently good english and bahasa communication comfortable in a fast paced environment pengalaman tahun di bidang administrasi operasional teliti dan bertanggung jawab mampu menyelesaikan tugas secara mandiri komunikasi bahasa inggris indonesia yang baik nyaman bekerja di lingkungan dinamis reliable and structured takes ownership and follows through focused on execution rapi dapat diandalkan memiliki rasa tanggung jawab fokus pada eksekusi international business exposure direct work with leadership stable role with long term opportunity eksposur bisnis internasional bekerja langsung dengan pimpinan posisi stabil dengan peluang jangka panjang,Admin,True
Client Relations Officer (Specialist Pra-Unit BAST),PT Bangun Minanga Lestari,Manado,Full time,Rp 4.002.630 – Rp 5.500.000 per month,"Melakukan pendampingan customer yang telah melakukan akad hingga proses serah terima unit (BAST).; Mengidentifikasi dan menyelesaikan kendala yang menghambat proses BAST unit.; Berkoordinasi aktif dengan tim internal lintas divisi/anak perusahaan (Legal, Project, Finance, Estate, dll) untuk percepatan Bast.; Memastikan kesiapan unit dan kelengkapan dokumen Bast lengkap sebelum melakukan serah terima.; Menjadi penghubung utama antara customer dan perusahaan dalam tahap pra-BAST.; Rutin memberikan update progres unit dan kesiapan Bast dengan jelas, profesional, fast respon dan tepat waktu kepada user.; Minimal pengalaman 1 tahun di bidang after sales properti dan administrasi Pra- Unit Bast.; Memahami alur proses dari akad hingga Bast unit.; Memiliki kemampuan komunikasi yang baik, responsif, dan profesional.; Mampu bekerja secara detail, terstruktur, dan bertanggung jawab.; Terbiasa menangani dokumen dan administrasi dengan tingkat ketelitian tinggi.; Memiliki kemampuan problem solving yang kuat dan proaktif.; Berpengalaman langsung dalam proses BAST / serah terima unit properti.; Terbiasa berkoordinasi lintas divisi dalam perusahaan properti untuk penyelesaian Bast Unit.; Memiliki attitude service excellence dan customer-oriented mindset.",https://id.jobstreet.com/id/job/91417961?type=standard&ref=search-standalone&origin=cardTitle,client relations officer specialist pra unit bast client relations officer specialist pra unit bast melakukan pendampingan customer yang telah melakukan akad hingga proses serah terima unit bast mengidentifikasi dan menyelesaikan kendala yang menghambat proses bast unit berkoordinasi aktif dengan tim internal lintas divisi anak perusahaan legal project finance estate dll untuk percepatan bast memastikan kesiapan unit dan kelengkapan dokumen bast lengkap sebelum melakukan serah terima menjadi penghubung utama antara customer dan perusahaan dalam tahap pra bast rutin memberikan update progres unit dan kesiapan bast dengan jelas profesional fast respon dan tepat waktu kepada user minimal pengalaman tahun di bidang after sales properti dan administrasi pra unit bast memahami alur proses dari akad hingga bast unit memiliki kemampuan komunikasi yang baik responsif dan profesional mampu bekerja secara detail terstruktur dan bertanggung jawab terbiasa menangani dokumen dan administrasi dengan tingkat ketelitian tinggi memiliki kemampuan problem solving yang kuat dan proaktif berpengalaman langsung dalam proses bast serah terima unit properti terbiasa berkoordinasi lintas divisi dalam perusahaan properti untuk penyelesaian bast unit memiliki attitude service excellence dan customer oriented mindset,Admin,True
Legal Officer,PT SON SMART LIVING,Padang,Full time,Rp 4.000.000 – Rp 5.000.000 per month,"Mengelola, mengendalikan, dan mengarsipkan seluruh dokumen legal dan aset perusahaan, termasuk dokumen proyek properti.; Menyiapkan, meninjau, dan memvalidasi berbagai dokumen hukum seperti perjanjian kerja sama, kontrak, perjanjian sewa, perjanjian jual beli, AJB (Akta Jual Beli), serta dokumen perizinan.; Memberikan opini dan nasihat hukum terkait aspek hukum, bisnis, kepatuhan, serta peraturan perundang-undangan yang berlaku.; Melakukan negosiasi dalam kerja sama dengan pihak ketiga untuk memastikan perlindungan kepentingan perusahaan.; Menangani dan mengelola proses litigasi, penyelesaian sengketa, serta potensi risiko hukum yang dihadapi perusahaan.; Memantau dan menganalisis perubahan regulasi, khususnya yang berkaitan dengan industri properti, serta memastikan implementasi kepatuhan di seluruh operasional perusahaan.; Berkolaborasi dengan Tim Manajemen Proyek dan tim lintas fungsi dalam memberikan panduan hukum terkait kepatuhan, perizinan, dan isu hukum lainnya.; Pendidikan minimal Sarjana Hukum (dari Reputable University menjadi nilai plus); Memiliki pengalaman kerja minimal 2 tahun sebagai Legal; Pengetahuan mendalam tentang undang-undang dan peraturan yang mengatur industri properti di Indonesia.; Kemampuan analitis yang kuat untuk mengidentifikasi risiko hukum dan memberikan solusi yang tepat; Pemahaman yang baik tentang proses litigasi dan penyelesaian sengketa; Memahami Hukum-hukum Agraria; Memahami dan menguasai tentang aspek hukum seperti Legalitas Perusahaan, Pembuatan Draft Legal, Kontrak & Legal Review, Perjanjian & Perizinan serta Asset Perusahaan; Memiliki kemampuan negosiasi dan komunikasi secara efektif; Memiliki sertifikat PERADI menjadi nilai plus; Menguasai Microsoft Office; Jujur, teliti, cekatan dan bertanggung jawab; Dapat bekerja dengan sistem target; Rutin dalam menjalankan ibadah shalat 5 waktu dan ibadah sunnah.; Pilihan Lokasi Kerja: Padang, Tangerang Selatan, Bogor, Cikarang, Semarang, Malang; Gaji Bulanan; Tunjangan Kesehatan; Pinjaman Non Riba; Kajian rutin Pekanan; Lingkungan kerja yang positif dengan budaya yang sesuai dengan Al Qur'an dan Sunnah; Jenjang Karir",https://id.jobstreet.com/id/job/91208847?type=standard&ref=search-standalone&origin=cardTitle,legal officer legal officer mengelola mengendalikan dan mengarsipkan seluruh dokumen legal dan aset perusahaan termasuk dokumen proyek properti menyiapkan meninjau dan memvalidasi berbagai dokumen hukum seperti perjanjian kerja sama kontrak perjanjian sewa perjanjian jual beli ajb akta jual beli serta dokumen perizinan memberikan opini dan nasihat hukum terkait aspek hukum bisnis kepatuhan serta peraturan perundang undangan yang berlaku melakukan negosiasi dalam kerja sama dengan pihak ketiga untuk memastikan perlindungan kepentingan perusahaan menangani dan mengelola proses litigasi penyelesaian sengketa serta potensi risiko hukum yang dihadapi perusahaan memantau dan menganalisis perubahan regulasi khususnya yang berkaitan dengan industri properti serta memastikan implementasi kepatuhan di seluruh operasional perusahaan berkolaborasi dengan tim manajemen proyek dan tim lintas fungsi dalam memberikan panduan hukum terkait kepatuhan perizinan dan isu hukum lainnya pendidikan minimal sarjana hukum dari reputable university menjadi nilai plus memiliki pengalaman kerja minimal tahun sebagai legal pengetahuan mendalam tentang undang undang dan peraturan yang mengatur industri properti di indonesia kemampuan analitis yang kuat untuk mengidentifikasi risiko hukum dan memberikan solusi yang tepat pemahaman yang baik tentang proses litigasi dan penyelesaian sengketa memahami hukum hukum agraria memahami dan menguasai tentang aspek hukum seperti legalitas perusahaan pembuatan draft legal kontrak legal review perjanjian perizinan serta asset perusahaan memiliki kemampuan negosiasi dan komunikasi secara efektif memiliki sertifikat peradi menjadi nilai plus menguasai microsoft office jujur teliti cekatan dan bertanggung jawab dapat bekerja dengan sistem target rutin dalam menjalankan ibadah shalat waktu dan ibadah sunnah pilihan lokasi kerja padang tangerang selatan bogor cikarang semarang malang gaji bulanan tunjangan kesehatan pinjaman non riba kajian rutin pekanan lingkungan kerja yang positif dengan budaya yang sesuai dengan al qur an dan sunnah jenjang karir,Admin,True
Staff Admin,Pengiklan Anonim,Bandung Wetan,Full time,Rp 3.900.000 – Rp 4.500.000 per month,"Melakukan entri data dan pengolahan dokumen kantor, dokumen keuangan dengan akurat dan tepat waktu; Membantu penyusunan dan pengarsipan dokumen, surat-menyurat, dan laporan internal; Menyiapkan bahan presentasi, spreadsheet, dan materi lainnya sesuai kebutuhan; Memberikan dukungan administrasi lainnya sesuai kebutuhan manajemen; Membantu tugas-tugas kantor harian lainnya yang diberikan oleh atasan; Pendidikan minimum D3 atau S1 dari jurusan yang relevan diutamakan Accounting/Keuangan; Memiliki pengalaman kerja minimal 1-2 tahun di posisi administrasi atau dukungan perkantoran; Mahir menggunakan aplikasi Microsoft Office (Word, Excel, PowerPoint); Memiliki kemampuan organisasi yang baik dan ketelitian dalam bekerja; Memiliki komunikasi interpersonal yang baik dan berorientasi pada pelayanan; Mampu bekerja dalam tim dan di bawah tekanan dengan baik; Gaji kompetitif dan tunjangan menarik; Asuransi kesehatan, kecelakaan, dan jiwa; Cuti tahunan, cuti melahirkan, dan program pensiun; Pelatihan dan pengembangan karier yang berkelanjutan; Lingkungan kerja yang kolaboratif dan mendukung",https://id.jobstreet.com/id/job/91395846?type=standard&ref=search-standalone&origin=cardTitle,staff admin staff admin melakukan entri data dan pengolahan dokumen kantor dokumen keuangan dengan akurat dan tepat waktu membantu penyusunan dan pengarsipan dokumen surat menyurat dan laporan internal menyiapkan bahan presentasi spreadsheet dan materi lainnya sesuai kebutuhan memberikan dukungan administrasi lainnya sesuai kebutuhan manajemen membantu tugas tugas kantor harian lainnya yang diberikan oleh atasan pendidikan minimum d atau s dari jurusan yang relevan diutamakan accounting keuangan memiliki pengalaman kerja minimal tahun di posisi administrasi atau dukungan perkantoran mahir menggunakan aplikasi microsoft office word excel powerpoint memiliki kemampuan organisasi yang baik dan ketelitian dalam bekerja memiliki komunikasi interpersonal yang baik dan berorientasi pada pelayanan mampu bekerja dalam tim dan di bawah tekanan dengan baik gaji kompetitif dan tunjangan menarik asuransi kesehatan kecelakaan dan jiwa cuti tahunan cuti melahirkan dan program pensiun pelatihan dan pengembangan karier yang berkelanjutan lingkungan kerja yang kolaboratif dan mendukung,Admin,True
Personal Assistant,Pengiklan Anonim,Jakarta Pusat,Full time,Rp 10.000.000 – Rp 15.000.000 per month,"Mengelola jadwal, perjalanan, dan komitmen harian eksekutif dengan efisien; Membuat dan mendistribusikan notulensi rapat, serta memantau tindak lanjut; Menjadi titik kontak utama untuk menjawab pertanyaan dan menangani permintaan dari berbagai pemangku kepentingan; Mengatur pemesanan dan pengaturan logistik untuk pertemuan dan acara; Membantu dalam tugas-tugas administratif lainnya, seperti manajemen berkas dan penagihan; Memberikan dukungan proaktif dan solusi kreatif untuk memastikan kelancaran operasional; Minimal 3 tahun pengalaman sebagai Personal Assistant atau posisi administratif senior yang setara; Memiliki kemampuan multitasking yang baik dan berpikir kritis untuk menangani berbagai prioritas dengan cekatan; Sangat terampil dalam menggunakan Microsoft Office (Word, Excel, PowerPoint) dan alat produktivitas kantor lainnya; Memiliki kemampuan komunikasi yang sangat baik, baik secara lisan maupun tertulis, dalam Bahasa Indonesia dan Bahasa Inggris; Teliti, cermat, dan berdedikasi dalam menyelesaikan tugas-tugas dengan akurasi tinggi; Mampu beradaptasi dengan cepat dalam lingkungan yang dinamis dan berubah-ubah; Memiliki pemahaman yang baik tentang standar profesionalisme dan etika kerja yang tinggi; Kompensasi yang kompetitif dan sesuai dengan pengalaman; Tunjangan dan fasilitas menarik, termasuk asuransi kesehatan yang komprehensif; Kesempatan untuk berkembang secara profesional melalui pelatihan dan program pengembangan karyawan; Lingkungan kerja yang dinamis dan kolaboratif di industri perhotelan yang menarik; Kebijakan dan budaya kerja yang mendukung keseimbangan kehidupan-kerja",https://id.jobstreet.com/id/job/91480645?type=standard&ref=search-standalone&origin=cardTitle,personal assistant personal assistant mengelola jadwal perjalanan dan komitmen harian eksekutif dengan efisien membuat dan mendistribusikan notulensi rapat serta memantau tindak lanjut menjadi titik kontak utama untuk menjawab pertanyaan dan menangani permintaan dari berbagai pemangku kepentingan mengatur pemesanan dan pengaturan logistik untuk pertemuan dan acara membantu dalam tugas tugas administratif lainnya seperti manajemen berkas dan penagihan memberikan dukungan proaktif dan solusi kreatif untuk memastikan kelancaran operasional minimal tahun pengalaman sebagai personal assistant atau posisi administratif senior yang setara memiliki kemampuan multitasking yang baik dan berpikir kritis untuk menangani berbagai prioritas dengan cekatan sangat terampil dalam menggunakan microsoft office word excel powerpoint dan alat produktivitas kantor lainnya memiliki kemampuan komunikasi yang sangat baik baik secara lisan maupun tertulis dalam bahasa indonesia dan bahasa inggris teliti cermat dan berdedikasi dalam menyelesaikan tugas tugas dengan akurasi tinggi mampu beradaptasi dengan cepat dalam lingkungan yang dinamis dan berubah ubah memiliki pemahaman yang baik tentang standar profesionalisme dan etika kerja yang tinggi kompensasi yang kompetitif dan sesuai dengan pengalaman tunjangan dan fasilitas menarik termasuk asuransi kesehatan yang komprehensif kesempatan untuk berkembang secara profesional melalui pelatihan dan program pengembangan karyawan lingkungan kerja yang dinamis dan kolaboratif di industri perhotelan yang menarik kebijakan dan budaya kerja yang mendukung keseimbangan kehidupan kerja,Admin,True
Legal Officer,PT Megatama Wijaya Land,Cikarang Pusat,Full time,Rp 5.000.000 – Rp 6.000.000 per month,"Mengelola, mengendalikan, dan mengarsipkan seluruh dokumen legal dan aset perusahaan, termasuk dokumen proyek properti.; Menyiapkan, meninjau, dan memvalidasi berbagai dokumen hukum seperti perjanjian kerja sama, kontrak, perjanjian sewa, perjanjian jual beli, AJB (Akta Jual Beli), serta dokumen perizinan.; Memberikan opini dan nasihat hukum terkait aspek hukum, bisnis, kepatuhan, serta peraturan perundang-undangan yang berlaku.; Melakukan negosiasi dalam kerja sama dengan pihak ketiga untuk memastikan perlindungan kepentingan perusahaan.; Menangani dan mengelola proses litigasi, penyelesaian sengketa, serta potensi risiko hukum yang dihadapi perusahaan.; Memantau dan menganalisis perubahan regulasi, khususnya yang berkaitan dengan industri properti, serta memastikan implementasi kepatuhan di seluruh operasional perusahaan.; Berkolaborasi dengan Tim Manajemen Proyek dan tim lintas fungsi dalam memberikan panduan hukum terkait kepatuhan, perizinan, dan isu hukum lainnya.; Pendidikan minimal Sarjana Hukum (dari Reputable University menjadi nilai plus); Memiliki pengalaman kerja minimal 2 tahun sebagai Legal; Pengetahuan mendalam tentang undang-undang dan peraturan yang mengatur industri properti di Indonesia.; Kemampuan analitis yang kuat untuk mengidentifikasi risiko hukum dan memberikan solusi yang tepat; Pemahaman yang baik tentang proses litigasi dan penyelesaian sengketa; Memahami Hukum-hukum Agraria; Memahami dan menguasai tentang aspek hukum seperti Legalitas Perusahaan, Pembuatan Draft Legal, Kontrak & Legal Review, Perjanjian & Perizinan serta Asset Perusahaan; Memiliki kemampuan negosiasi dan komunikasi secara efektif; Memiliki sertifikat PERADI menjadi nilai plus; Menguasai Microsoft Office; Jujur, teliti, cekatan dan bertanggung jawab; Dapat bekerja dengan sistem target; Rutin dalam menjalankan ibadah shalat 5 waktu dan ibadah sunnah.; Bersedia ditempatkan di Palembang (WAJIB); Gaji; Bonus Disiplin; Bonus Kinerja; Tunjangan Kesehatan; Lingkungan Kerja yang Positif dan Membangun; Leluasa dalam menjalankan Ibadah Shalat Wajib 5 Waktu",https://id.jobstreet.com/id/job/91246661?type=standard&ref=search-standalone&origin=cardTitle,legal officer legal officer mengelola mengendalikan dan mengarsipkan seluruh dokumen legal dan aset perusahaan termasuk dokumen proyek properti menyiapkan meninjau dan memvalidasi berbagai dokumen hukum seperti perjanjian kerja sama kontrak perjanjian sewa perjanjian jual beli ajb akta jual beli serta dokumen perizinan memberikan opini dan nasihat hukum terkait aspek hukum bisnis kepatuhan serta peraturan perundang undangan yang berlaku melakukan negosiasi dalam kerja sama dengan pihak ketiga untuk memastikan perlindungan kepentingan perusahaan menangani dan mengelola proses litigasi penyelesaian sengketa serta potensi risiko hukum yang dihadapi perusahaan memantau dan menganalisis perubahan regulasi khususnya yang berkaitan dengan industri properti serta memastikan implementasi kepatuhan di seluruh operasional perusahaan berkolaborasi dengan tim manajemen proyek dan tim lintas fungsi dalam memberikan panduan hukum terkait kepatuhan perizinan dan isu hukum lainnya pendidikan minimal sarjana hukum dari reputable university menjadi nilai plus memiliki pengalaman kerja minimal tahun sebagai legal pengetahuan mendalam tentang undang undang dan peraturan yang mengatur industri properti di indonesia kemampuan analitis yang kuat untuk mengidentifikasi risiko hukum dan memberikan solusi yang tepat pemahaman yang baik tentang proses litigasi dan penyelesaian sengketa memahami hukum hukum agraria memahami dan menguasai tentang aspek hukum seperti legalitas perusahaan pembuatan draft legal kontrak legal review perjanjian perizinan serta asset perusahaan memiliki kemampuan negosiasi dan komunikasi secara efektif memiliki sertifikat peradi menjadi nilai plus menguasai microsoft office jujur teliti cekatan dan bertanggung jawab dapat bekerja dengan sistem target rutin dalam menjalankan ibadah shalat waktu dan ibadah sunnah bersedia ditempatkan di palembang wajib gaji bonus disiplin bonus kinerja tunjangan kesehatan lingkungan kerja yang positif dan membangun leluasa dalam menjalankan ibadah shalat wajib waktu,Admin,True
